cong,idno,state,cd,statenm,party,name,dwnom1,dwnom2,bootse1,bootse2,corr12,logl,nchoices,errors,gmp
73,7126,45,0, LOUISIA,100, OVERTON  J.  ,.029999999,.255,.14569999,.1173,.090300001,-102.32814,197,50,.59500003
73,3919,2,0, MAINE  ,200, HALE  F.     ,.233,-.36199999,.15109999,.16329999,.0385,-48.992901,212,25,.79400003
73,10047,2,0, MAINE  ,200, WHITE  W.H.  ,.26199999,-.13500001,.18780001,.16680001,.2467,-49.26083,190,21,.77200001
73,3653,52,0, MARYLAN,200, GOLDSBOROUG  ,.40000001,-.30399999,.1399,.16760001,.1522,-23.7402,214,6,.89499998
73,9538,52,0, MARYLAN,100, TYDINGS  M.  ,-.052999999,-.46399999,.017000001,.0889,.4172,-74.783943,180,40,.66000003
73,2035,3,0, MASSACH,100, COOLIDGE     ,-.121,-.54299998,.045299999,.092200004,.57819998,-60.803612,192,26,.72899997
73,9782,3,0, MASSACH,100, WALSH  D.I.  ,-.056000002,-.27399999,.028200001,.0294,.1559,-85.270157,207,39,.662
73,2095,23,0, MICHIGA,200, COUZENS  J.  ,.138,.117,.0187,.052900001,.1753,-109.31595,181,60,.54699999
73,9604,23,0, MICHIGA,200, VANDENBERG   ,.23999999,.0020000001,.079800002,.085500002,.53329998,-85.437424,205,44,.65899998
73,8254,33,0, MINNESO,200, SCHALL  T.   ,.366,.65100002,.078000002,.0656,.3125,-72.66671,197,31,.69199997
73,8476,33,0, MINNESO,537, SHIPSTEAD    ,.25799999,.90899998,.0902,.0405,.1708,-52.575371,197,26,.76599997
73,8888,46,0, MISSISS,100, STEPHENS     ,-.16,-.454,.1081,.0933,.4084,-66.37925,177,35,.68699998
73,4126,46,0, MISSISS,100, HARRISON     ,-.31,-.67900002,.074199997,.1241,.4118,-36.781719,211,11,.83999997
73,7252,34,0, MISSOUR,200, PATTERSON    ,.43799999,.108,.1194,.2111,.15989999,-38.87804,190,17,.815
73,1772,34,0, MISSOUR,100, CLARK  J.B.  ,.082000002,.18000001,.068499997,.0548,.28290001,-130.9137,214,71,.542
73,9984,64,0, MONTANA,100, WHEELER  B.  ,.122,.66299999,.1248,.1098,.2538,-44.898701,176,23,.77499998
73,2980,64,0, MONTANA,100, ERICKSON     ,.0040000002,.375,.1734,.18889999,-.36300001,-54.685101,188,25,.74800003
73,6960,35,0, NEBRASK,200, NORRIS  G.   ,.101,.667,.1541,.087099999,.0283,-65.127571,202,26,.72399998
73,9346,35,0, NEBRASK,100, THOMPSON     ,-.119,-.061999999,.2036,.1481,.0275,-45.832401,150,20,.73699999
73,6132,65,0, NEVADA ,100, MCCARRAN     ,.215,.48199999,.031800002,.055799998,.31479999,-91.019203,193,52,.62400001
73,7473,65,0, NEVADA ,100, PITTMAN  K.  ,-.145,-.38100001,.0537,.079599999,.4418,-36.918079,115,14,.72500002
73,1109,4,0, NEW HAM,100, BROWN  F.H.  ,-.156,-.219,.1629,.1046,.30270001,-64.717567,209,25,.73400003
73,5227,4,0, NEW HAM,200, KEYES  H.W.  ,.25,-.34299999,.1734,.162,.1092,-33.016392,196,18,.84500003
73,5106,12,0, NEW JER,200, KEAN  H.F.   ,.34,-.31999999,.1455,.1652,.0964,-36.317341,198,16,.83200002
73,425,12,0, NEW JER,200, BARBOUR  N.  ,.264,-.26499999,.1807,.1829,.083700001,-39.303719,206,14,.82599998
73,2289,66,0, NEW MEX,200, CUTTING  B.  ,.227,.78899997,.099799998,.1168,.1244,-68.027,173,33,.67500001
73,982,66,0, NEW MEX,100, BRATTON  S.  ,-.079000004,-.068999998,.1192,.099799998,.43689999,-29.486031,81,15,.69499999
73,4184,66,0, NEW MEX,100, HATCH  C.A.  ,-.016000001,.093999997,.1445,.071500003,.25690001,-33.77737,120,14,.755
73,9713,13,0, NEW YOR,100, WAGNER  R.   ,-.13,-.47,.039999999,.041299999,.4262,-70.380623,179,29,.67500001
73,2062,13,0, NEW YOR,100, COPELAND     ,.071999997,-.175,.036699999,.1013,.24240001,-100.88815,164,57,.54100001
